23.0 4 169.4 151 4093.0 19.5 76 1 chevy_beetle
46.0 3 163.9 194 2190.0 19.0 73 1 vw_accord
37.3 5 414.4 186 4990.0 9.5 71 3 buick_civic
31.9 4 164.8 74 3952.0 22.8 74 2 vw_corolla
14.2 4 173.3 73 2129.0 17.1 80 2 dodge_mustang
14.2 4 358.6 95 5349.0 13.8 80 2 toyota_accord
10.3 4 240.9 112 3573.0 20.1 72 2 dodge_beetle
42.6 8 365.2 121 1792.0 12.1 78 1 toyota_beetle
32.0 4 94.8 171 4007.0 19.1 75 3 plymouth_civic
36.3 6 255.3 56 2513.0 8.6 70 3 dodge_valiant
8.8 3 82.8 52 4715.0 21.4 72 1 toyota_camaro
46.8 3 93.8 118 4771.0 15.2 81 1 ford_civic
41.3 4 414.4 174 5416.0 18.2 73 1 buick_valiant
16.5 4 122.9 82 3507.0 11.5 78 3 dodge_camaro
15.3 4 272.3 164 3320.0 18.8 80 3 mazda_mustang
15.3 8 226.2 94 4514.0 20.4 75 3 plymouth_mustang
20.2 3 202.0 209 2030.0 15.6 73 2 buick_valiant
29.0 8 411.9 211 3688.0 17.9 70 1 toyota_corolla
25.3 4 78.3 101 3685.0 15.3 77 1 toyota_mustang
19.6 8 322.2 88 1858.0 22.3 80 1 mazda_mustang
32.5 6 436.1 122 3172.0 16.0 71 3 chevy_corolla
13.6 4 282.9 90 4913.0 21.5 80 1 ford_valiant
19.7 8 426.0 170 4925.0 20.8 80 1 vw_valiant
22.7 5 89.9 198 1897.0 14.6 77 2 chevy_beetle
26.2 3 229.1 170 1863.0 11.7 75 3 chevy_beetle
39.4 4 168.9 198 2551.0 14.5 77 1 chevy_mustang
16.0 6 347.7 119 4999.0 21.2 75 3 vw_maverick
28.6 6 442.9 75 2016.0 11.6 74 3 plymouth_corolla
31.7 5 167.5 ? 4380.0 16.4 74 3 honda_camaro
9.9 4 318.6 112 1905.0 20.9 79 2 mazda_camaro
32.3 4 145.3 170 3993.0 13.7 79 3 honda_maverick
14.8 6 284.8 96 2924.0 18.3 80 3 vw_crown
10.6 4 246.3 61 4656.0 11.9 77 3 plymouth_beetle
46.0 4 439.4 229 2435.0 9.7 76 1 toyota_maverick
46.6 6 301.2 75 4057.0 20.7 77 2 plymouth_accord
40.3 4 202.8 228 2443.0 9.6 81 1 toyota_civic
20.2 6 113.4 226 4355.0 12.3 77 2 plymouth_mustang
11.9 6 127.5 192 4995.0 21.7 76 2 honda_accord
35.4 5 155.6 167 2007.0 13.5 71 3 mazda_maverick
25.6 3 165.4 152 4966.0 23.6 80 3 toyota_maverick
12.9 8 393.2 205 3874.0 23.7 78 1 vw_crown
27.8 8 283.3 99 2008.0 12.3 82 2 vw_maverick
9.4 4 268.9 132 3210.0 8.7 76 3 mazda_crown
44.4 6 113.6 160 2143.0 19.3 81 3 dodge_camaro
18.4 4 396.9 122 4301.0 15.2 80 3 toyota_camaro
34.5 8 344.7 125 4535.0 9.6 75 3 mazda_corolla
20.5 5 95.7 107 1923.0 19.3 78 1 dodge_mustang
28.8 6 339.0 150 3525.0 8.5 82 1 mazda_camaro
29.9 4 276.5 203 4759.0 21.9 70 3 chevy_civic
15.4 4 101.1 83 5245.0 10.2 80 3 dodge_civic
46.8 3 244.2 218 3554.0 10.0 71 3 buick_mustang
39.0 4 254.2 173 5301.0 10.8 82 3 ford_valiant
45.6 5 133.0 197 3643.0 23.4 70 3 mazda_valiant
43.8 4 429.4 148 3077.0 19.1 79 2 dodge_crown
